symbol,date,time,open,high,low,close,volume,amt
510300.SH,2021/1/4,15:00,5.13113135,5.214706596,5.111695247,5.18360883,506705632,2697192784
510300.SH,2021/1/5,15:00,5.170975363,5.291479205,5.15542648,5.279817543,622830800,3349890560
510300.SH,2021/1/6,15:00,5.293422815,5.358533763,5.26426866,5.327435997,374945104,2048972320
510300.SH,2021/1/7,15:00,5.335210438,5.442109008,5.328407802,5.441137203,470659232,2604546544
510300.SH,2021/1/8,15:00,5.449883449,5.472234969,5.363392788,5.413926658,697564768,3884322784
510300.SH,2021/1/11,15:00,5.414898463,5.461545112,5.322576971,5.352702931,635965168,3536919280
510300.SH,2021/1/12,15:00,5.341041269,5.512078981,5.337154049,5.50819176,596280784,3327362000
510300.SH,2021/1/13,15:00,5.523740643,5.553866604,5.45182706,5.486812046,552434400,3129878576
510300.SH,2021/1/14,15:00,5.486812046,5.486812046,5.381857087,5.386716113,696048000,3885747952
510300.SH,2021/1/15,15:00,5.386716113,5.418785684,5.306056283,5.370195425,709049184,3916989376
510300.SH,2021/1/18,15:00,5.367241569,5.461766462,5.331794735,5.428288896,396768560,2176480896
510300.SH,2021/1/19,15:00,5.433212067,5.445027679,5.332779369,5.354441323,417009680,2282323328
510300.SH,2021/1/20,15:00,5.352472055,5.410565479,5.346564249,5.383980352,422385744,2307751584
510300.SH,2021/1/21,15:00,5.398749867,5.502136468,5.398749867,5.476535977,511620320,2833318064
510300.SH,2021/1/22,15:00,5.471612805,5.484413051,5.421396456,5.47948988,554309328,3074483616
510300.SH,2021/1/25,15:00,5.478505245,5.562199161,5.446012313,5.544475743,450177152,2518875360
510300.SH,2021/1/26,15:00,5.52084452,5.523798423,5.418442553,5.426319627,392744992,2175771664
510300.SH,2021/1/27,15:00,5.420411822,5.446996948,5.366256935,5.43616597,591541584,3252544448
510300.SH,2021/1/28,15:00,5.376103278,5.376103278,5.281578385,5.302255706,469951840,2541914768
510300.SH,2021/1/29,15:00,5.32391766,5.339671809,5.200838373,5.265824236,622113872,3343269152
510300.SH,2021/2/1,15:00,5.265824236,5.3308101,5.263854968,5.327856197,436288064,2352426032
510300.SH,2021/2/2,15:00,5.336717906,5.409580844,5.327856197,5.406626941,573156928,3133181952
510300.SH,2021/2/3,15:00,5.406626941,5.440104508,5.380041815,5.400719136,281969488,1549207312
510300.SH,2021/2/4,15:00,5.376103278,5.425334993,5.332779369,5.389888158,300084144,1639395456
510300.SH,2021/2/5,15:00,5.40170377,5.461766462,5.391857427,5.397765233,560000496,3085296672
510300.SH,2021/2/8,15:00,5.435181336,5.487366954,5.397765233,5.468658902,475013424,2628084272
510300.SH,2021/2/9,15:00,5.489336223,5.606507704,5.464720365,5.604538436,418299840,2349537936
510300.SH,2021/2/10,15:00,5.618323316,5.743371872,5.609461607,5.71777138,341909856,1973984352
510300.SH,2021/2/18,15:00,5.831988959,5.841835302,5.659677956,5.675432105,470765744,2747359952
510300.SH,2021/2/19,15:00,5.653770151,5.711863574,5.583861115,5.706940403,709064656,4060011760
510300.SH,2021/2/22,15:00,5.696109426,5.69709406,5.498197931,5.503121103,776075984,4399449088
510300.SH,2021/2/23,15:00,5.464720365,5.550383549,5.461766462,5.488351588,591250368,3308715200
510300.SH,2021/2/24,15:00,5.502136468,5.51395208,5.288470825,5.343610346,1011269040,5539235584
510300.SH,2021/2/25,15:00,5.396780598,5.438135239,5.358379861,5.393826695,669305440,3670095568
510300.SH,2021/2/26,15:00,5.306194243,5.336717906,5.23923911,5.247116185,837070336,4486159616
510300.SH,2021/3/1,15:00,5.298317168,5.336717906,5.265824236,5.334748637,558208544,3007992816
510300.SH,2021/3/2,15:00,5.362318398,5.367241569,5.22545423,5.266808871,433859760,2338148832
510300.SH,2021/3/3,15:00,5.251054722,5.374134009,5.234315939,5.370195472,361154592,1950248208
510300.SH,2021/3/4,15:00,5.31702522,5.31702522,5.177207149,5.205761544,644981648,3428246544
510300.SH,2021/3/5,15:00,5.122067629,5.229392767,5.09942104,5.185084224,593632848,3111411984
510300.SH,2021/3/8,15:00,5.21856179,5.243177648,4.992095901,5.001942244,563722000,2929014224
510300.SH,2021/3/9,15:00,4.998988341,5.016711759,4.850308562,4.90249418,931719072,4677125888
510300.SH,2021/3/10,15:00,4.959602969,4.983234192,4.906432717,4.9231715,636535760,3197285824
510300.SH,2021/3/11,15:00,4.946802723,5.053143228,4.937941015,5.050189325,620676880,3161968864
510300.SH,2021/3/12,15:00,5.065943474,5.072835914,5.001942244,5.062989571,448201488,2295113616
510300.SH,2021/3/15,15:00,5.039358347,5.040342982,4.91627906,4.962556872,386572400,1952657088
510300.SH,2021/3/16,15:00,4.964526141,5.00785005,4.934987112,4.995049804,323236064,1635219632
510300.SH,2021/3/17,15:00,4.981264924,5.04231225,4.935971746,5.017696393,306294592,1554332784
510300.SH,2021/3/18,15:00,5.029512004,5.079728354,5.027542736,5.057081765,319610128,1639545024
510300.SH,2021/3/19,15:00,4.99406517,5.009819318,4.906432717,4.920217597,492195600,2478004768
510300.SH,2021/3/22,15:00,4.918248329,4.99406517,4.913325157,4.976341752,423486768,2132916080
510300.SH,2021/3/23,15:00,4.971418581,4.980280289,4.890678568,4.932033209,491638768,2459560320
510300.SH,2021/3/24,15:00,4.911355888,4.952710529,4.836523682,4.857201002,755052864,3741109712
